A1	BIBLIOTECA EUROPEA	104
A3	BIBLIOTECA ENZO TORTORA	31
B1	BIBLIOTECA VILLA LEOPARDI	68
B3	BIBLIOTECA FLAMINIA	74
BR	BIBLIOTECA CENTRALE PER RAGAZZI	268
C1	BIBLIOTECA TULLIO DE MAURO	54
D1	BIBLIOTECA ENNIO FLAIANO	251
E1	BIBLIOTECA VACCHERIA NARDI	119
F1	BIBLIOTECA GOFFREDO MAMELI	69
F2	BIBLIOTECA PENAZZATO	34
G1	BIBLIOTECA GIANNI RODARI	37
H1	BIBLIOTECA RUGANTINO	31
I1	BIBLIOTECA NELSON MANDELA	83
L1	BIBLIOTECA RAFFAELLO	30
M1	BIBLIOCAFFE' LETTERARIO	40
N1	BIBLIOTECA PIER PAOLO PASOLINI	69
O2	BIBLIOTECA ELSA MORANTE	139
Q1	BIBLIOTECA GUGLIELMO MARCONI	88
Q2	BIBLIOTECA RENATO NICOLINI	128
R1	BIBLIOTECA COLLI PORTUENSI	46
R2	BIBLIOTECA LONGHENA	26
R3	BIBLIOTECA VILLINO CORSINI - VILLA PAMPHILJ	70
S1	BIBLIOTECA GIORDANO BRUNO	128
T1	BIBLIOTECA VALLE AURELIA	82
T2	BIBLIOTECA CORNELIA	70
U1	BIBLIOTECA FRANCO BASAGLIA	72
V1	BIBLIOTECA GALLINE BIANCHE	38
H2	BIBLIOTECA BORGHESIANA	32
A5	BIBLIOTECA CASA DELLA MEMORIA	3
L3	BIBLIOTECA CASA DEI BIMBI	64
O1	BIBLIOTECA SANDRO ONOFRI	45
U2	BIBLIOTECA CASA DEL PARCO	29
G2	TEATRO BIBLIOTECA QUARTICCIOLO	28
WL	BIBLIOTECA LAURENTINA	3
WA	BIBLIOTECA FABRIZIO GIOVENALE	16
A6	BIBLIOTECA CASA DELLE TRADUZIONI	12
WC	BIBLIOTECA ARGENTINA	2
H3	COLLINA DELLA PACE	81
E2	BIBLIOTECA ALDO FABRIZI	38
