NOME;TIPOLOGIA
MONTI;RIONE
TREVI;RIONE
COLONNA;RIONE
CAMPO MARZIO;RIONE
PONTE;RIONE
PARIONE;RIONE
REGOLA;RIONE
SANT'EUSTACHIO;RIONE
PIGNA;RIONE
CAMPITELLI;RIONE
SANT'ANGELO;RIONE
RIPA;RIONE
TRASTEVERE;RIONE
BORGO;RIONE
ESQUILINO;RIONE
LUDOVISI;RIONE
SALLUSTIANO;RIONE
CASTRO PRETORIO;RIONE
CELIO;RIONE
TESTACCIO;RIONE
SAN SABA;RIONE
PRATI;RIONE
FLAMINIO;QUARTIERE
PARIOLI;QUARTIERE
PINCIANO;QUARTIERE
SALARIO;QUARTIERE
NOMENTANO;QUARTIERE
TIBURTINA;QUARTIERE
PRENESTINO-LABICANO;QUARTIERE
TUSCOLANO;QUARTIERE
 APPIO-LATINO;QUARTIERE
OSTIENSE;QUARTIERE
PORTUENSE;QUARTIERE
GIANICOLENSE;QUARTIERE
AURELIO;QUARTIERE
TRIONFALE;QUARTIERE
DELLA VITTORIA;QUARTIERE
MONTE SACRO;QUARTIERE
TRIESTE;QUARTIERE
TOR DI QUINTO;QUARTIERE
PRENESTINO-CENTOCELLE;QUARTIERE
ARDEATINO;QUARTIERE
PIETRALATA;QUARTIERE
COLLATINO;QUARTIERE
ALESSANDRINO;QUARTIERE
DON BOSCO;QUARTIERE
APPIO-CLAUDIO;QUARTIERE
APPIO-PIGNATELLI;QUARTIERE
PRIMAVALLE;QUARTIERE
MONTE SACRO ALTO;QUARTIERE
PONTE MAMMOLO;QUARTIERE
SAN BASILIO;QUARTIERE
GIULIANO DALMATA;QUARTIERE
EUROPA;QUARTIERE
LIDO DI OSTIA PONENTE;QUARTIERE
LIDO DI OSTIA LEVANTE;QUARTIERE
LIDO DI CASTEL FUSANO;QUARTIERE
TOR DI QUINTO;SUBURBIO
 PORTUENSE;SUBURBIO
GIANICOLENSE;SUBURBIO
AURELIO;SUBURBIO
TRIONFALE;SUBURBIO
DELLA VITTORIA;SUBURBIO
VAL MELAINA;ZONA
CASTEL GIUBILEO;ZONA
MARCIGLIANA;ZONA
CASAL BOCCONE;ZONA
TOR SAN GIOVANNI;ZONA
SETTECAMINI;ZONA
TOR CERVARA;ZONA
TOR SAPIENZA;ZONA
ACQUA VERGINE;ZONA
LUNGHEZZA;ZONA
SAN VITTORINO;ZONA
TORRE SPACCATA;ZONA
TORRE ANGELA;ZONA
BORGHESIANA;ZONA
TORRE MAURA;ZONA
TORRENOVA;ZONA
TORRE GAIA;ZONA
CAPANNELLE;ZONA
CASAL MORENA;ZONA
AEROPORTO DI CIAMPINO;ZONA
TORRICOLA;ZONA
CECCHIGNOLA;ZONA
CASTEL DI LEVA;ZONA
FONTE OSTIENSE;ZONA
VALLERANO;ZONA
CASTEL DI DECIMA;ZONA
TORRINO;ZONA
TOR DE CENCI;ZONA
CASTEL PORZIANO;ZONA
CASTEL FUSANO;ZONA
MEZZOCAMMINO;ZONA
ACILIA NORD;ZONA
ACILIA SUD;ZONA
CASAL PALOCCO;ZONA
OSTIA ANTICA;ZONA
TOR DI VALLE;ZONA
MAGLIANA VECCHIA;ZONA
PONTE GALERIA;ZONA
MACCARESE NORD ;ZONA
LA PISANA;ZONA
CASTEL DI GUIDO;ZONA
CASALOTTI;ZONA
S. MARIA DI GALERIA;ZONA
OTTAVIA;ZONA
LA STORTA;ZONA
CESANO;ZONA
TOMBA DI NERONE;ZONA
LA GIUSTINIANA;ZONA
ISOLA FARNESE;ZONA
GROTTAROSSA;ZONA
LABARO;ZONA
PRIMA PORTA;ZONA
POLLINE-MARTIGNANO;ZONA
