Municipio;Denominazione Mercato;Indirizzo;Tipologia;nø Posteggi
1; CAMPO MARZIO  ;PIAZZA MONTE D'ORO SNC; COPERTO;19
1; MONTI;VIA BACCINA 36 A; COPERTO;17
1; NUOVO ESQUILINO PEPE;VIA F. TURATI 160; COPERTO;130
1; NUOVO ESQUILINO SANI;VIA PRINCIPE AMEDEO 184; COPERTO;54
1; TESTACCIO  ;VIA B. FRANKLIN o via GALVANI o via VOLTA SNC;COPERTO;103
1;PRATI;PIAZZA DELL'UNITA' 53; COPERTO;125
1;TRIONFALE;VIA ANDREA DORIA ;COPERTO;274
1;VITTORIA;VIA MONTE SANTO 31; COPERTO;92
2;FLAMINIO I;VIA FLAMINIA 60 ; COPERTO;23
2;FLAMINIO II;VIA GUIDO RENI 31; COPERTO;72
2;NOMENTANO;PIAZZA ALESSANDRIA 1; COPERTO;74
2;PARIOLI;VIALE DELLA MOSCHEA 2; PLATEATICO;30
2;PINCIANO;VIA G. ANTONELLI SNC; COPERTO;37
2;SAVOIA;PIAZZA GIMMA 7; COPERTO;67
2;TRIESTE;VIA CHIANA 109; COPERTO;82
2;ITALIA;VIA CATANIA 70; COPERTO;146
3;MONTESACRO;VIALE ADRIATICO 138; COPERTO;51
3;NUOVO VAL MELAINA;VIA G. CONTI 360; PLATEATICO;82
3;SACCHETTI;VIA F. SACCHETTI 58; PLATEATICO;48
3;SERPENTARA;VIA V. TALLI SNC; PLATEATICO;54
3;TALENTI;VIA G. DELEDDA 74; PLATEATICO;34
3;TUFELLO;PIAZZA DEGLI EUGANEI SNC; COPERTO;79
4;CASAL DE' PAZZI;VIA LOCKE SNC; PLATEATICO;62
4;PORTONACCIO II ;VIA DI S.ROMANO SNC; COPERTO;49
4; S. BASILIO;VIA RECANATI SNC; COPERTO;63
4;TIBURTINO SUD;VIA GROTTA DI GREGNA SNC; PLATEATICO;37
4;MEDA ;VIA F. MEDA SNC;PLATEATICO;24
5;TORPIGNATTARA ;VIA LAPARELLI SNC; COPERTO;43
5;NUOVO LABICANO;VIA ALBERTO DA GIUSSANO SNC; PLATEATICO;61
5;VILLA GORDIANI;VIA ROVIGNO D'ISTRIA 28; PLATEATICO;96
5;CASILINO 23 ;VIA FERRAIRONI ; PLATEATICO;34
5;RONCHI;VIALE RONCHI ;PLATEATICO;20
5;CENTOCELLE ;PIAZZA DELLE IRIS SNC; COPERTO;94
5;PRIMAVERA (ex PLATANI);LARGO DELLA PRIMAVERA 34; PLATEATICO;129
5;TOR SAPIENZA ;VIA F. DE PISIS SNC; PLATEATICO;41
5;LA RUSTICA;VIA DAMETA SNC; PLATEATICO;15
6;TORRE SPACCATA II ;VIA CORNELIO SISENNA SNC;PLATEATICO;36
7;LATINO;PIAZZA EPIRO 9; PLATEATICO;55
7;METRONIO;VIA MAGNA GRECIA  56; COPERTO;87
7;CINECITTA EST;VIA STEFANO OBERTO ; PLATEATICO;45
7;NUOVO CALISSE;VIA PIETRO BONFANTE 28 ; PLATEATICO;69
7;NUOVO CINECITTA';VIA QUINTILIO VARO SNC; PLATEATICO;59
7;PISCINE DI TORRE SPACCATA;VIA R. VIGNALI SNC; PLATEATICO;38
7;QUARTO MIGLIO ;VIA MENOFILO ; PLATEATICO;44
7;TUSCOLANO III ;VIA DEL QUADRARO ; COPERTO;124
8;MONTAGNOLA;VIA PICO DELLA MIRANDOLA 13; PLATEATICO;61
8;GROTTAPERFETTA ;VIA DEI GRANAI DI NERVA 170; PLATEATICO;44
8;OSTIENSE;VIA CORINTO ; COPERTO;81
9;LAURENTINO ;VIA FRANCESCO SAPORI ; PLATEATICO;58
9;SPINACETO;VIA CADUTI PER LA RESISTENZA 609; PLATEATICO;64
9;TOR DE' CENCI;VIA RENZO BERTANI ; PLATEATICO;37
9;VIGNA MURATA ;VIA A. MELDOLA 143; PLATEATICO;54
10;CASAL BERNOCCHI;VIA GUIDO BIAGI ; COPERTO;20
10;PALOCCO;VIA ALBERTO GALLI;COPERTO;40
10;OSTIA I ;VIA ORAZIO DELLO SBIRRO ; COPERTO;67
10;OSTIA LIDO NORD ;VIA DELL'APPAGLIATORE ; PLATEATICO;76
10;CAPO PASSERO;LARGO TOLOSETTO FARINATA DEGLI UBERTI ;PLATEATICO;38
11;MAGLIANA;VIA FAUGLIA ; PLATEATICO;84
11;TRULLO ;VIA CAMPAGNATICO ; COPERTO;27
12;DE CALVI; LARGO S. EUFRASIA PELETTIER ; PLATEATICO;36
13;CASALOTTI ;VIA OVADA; PLATEATICO;51
13;IRNERIO ;VIA AURELIA 483 ; PLATEATICO;79
14;PRIMAVALLE I ;VIA S.IGINO PAPA ; COPERTO;56
14;BELSITO ;PIAZZA C. MAZZARESI ; COPERTO;52
14;PRIMAVALLE II; VIA PASQUALE II SNC; PLATEATICO;50
15;PONTE MILVIO ;VIA RIANO 15;PLATEATICO;73
